nohup: ignoring input
Using device: cuda
=> using dataset 'Snow100K'
=> creating denoising-diffusion model...
=> evaluating outdoor snow100K test set...
50000
=> loaded checkpoint '/home/louanqi/pycharmp/ckpts/Snow100K_ddpm.pth.tar' (epoch 1, step 1)
epoch:  1
step: 10, loss: 9202.6630859375, data time: 0.1914825439453125
step: 610, loss: 345.718017578125, data time: 0.003004300379009278
step: 620, loss: 316.5325622558594, data time: 0.00295841520552874
step: 630, loss: 378.332763671875, data time: 0.0029139776487608214
step: 640, loss: 261.166748046875, data time: 0.002870881688053806
step: 650, loss: 307.06597900390625, data time: 0.002829320258095011
step: 660, loss: 257.312255859375, data time: 0.002789045501732139
step: 670, loss: 297.81134033203125, data time: 0.002750388888143816
step: 680, loss: 358.8154296875, data time: 0.0027126230090988228
step: 690, loss: 347.99822998046875, data time: 0.002675439865045866
step: 700, loss: 311.82452392578125, data time: 0.0026398585078030697
step: 710, loss: 360.9544677734375, data time: 0.0026050824540626515
step: 720, loss: 289.5345458984375, data time: 0.0025719143916569103
step: 730, loss: 291.3189392089844, data time: 0.0025393024230036063
step: 740, loss: 339.38873291015625, data time: 0.0025072155850504665
step: 750, loss: 304.45538330078125, data time: 0.0024768701382727426
step: 760, loss: 379.40081787109375, data time: 0.0024464686397507257
step: 770, loss: 292.640380859375, data time: 0.0024169542389511287
step: 780, loss: 250.42105102539062, data time: 0.0023880494574374197
step: 790, loss: 266.83349609375, data time: 0.002360261136285857
step: 800, loss: 283.4369812011719, data time: 0.0023335658563988677
step: 810, loss: 219.1451873779297, data time: 0.0023069517279437506
step: 820, loss: 256.54608154296875, data time: 0.0022810503967806823
step: 830, loss: 317.09307861328125, data time: 0.002255516834512119
step: 840, loss: 297.5433349609375, data time: 0.0022310824161206723
step: 850, loss: 270.85137939453125, data time: 0.002206629942949023
step: 860, loss: 259.02398681640625, data time: 0.002182882795233943
step: 870, loss: 257.9359130859375, data time: 0.0021597343155100378
step: 880, loss: 250.65045166015625, data time: 0.0021369763744297833
step: 890, loss: 197.16647338867188, data time: 0.0021153992823460237
step: 900, loss: 279.5591125488281, data time: 0.002094150782957491
step: 910, loss: 340.621337890625, data time: 0.0020729963010949534
step: 920, loss: 339.4418029785156, data time: 0.002053036912870355
step: 930, loss: 290.6107177734375, data time: 0.0020327914518226977
step: 940, loss: 322.70404052734375, data time: 0.002012783980851991
step: 950, loss: 264.2318115234375, data time: 0.001993306946829825
step: 960, loss: 348.21209716796875, data time: 0.0019746440791984297
step: 970, loss: 235.40267944335938, data time: 0.001955831998149923
step: 980, loss: 214.271728515625, data time: 0.0019374332096773951
step: 990, loss: 246.4923858642578, data time: 0.001920491547386856
step: 1000, loss: 279.80035400390625, data time: 0.0019027735735919025
step: 1010, loss: 218.2572021484375, data time: 0.001885393329843421
step: 1020, loss: 201.70018005371094, data time: 0.001868554958534428
step: 1030, loss: 164.4724578857422, data time: 0.0018522408080402222
step: 1040, loss: 186.6953125, data time: 0.00183652867710969
step: 1050, loss: 200.625244140625, data time: 0.0018205965440311923
step: 1060, loss: 211.4709014892578, data time: 0.0018054353841866267
step: 1070, loss: 228.7411651611328, data time: 0.0017907414289140835
step: 1080, loss: 254.65216064453125, data time: 0.0017759612139117617
step: 1090, loss: 212.0530548095703, data time: 0.0017612536529316828
step: 1100, loss: 214.38192749023438, data time: 0.0017470946845626484
step: 1110, loss: 130.2207794189453, data time: 0.0017331340917066157
step: 1120, loss: 218.5166473388672, data time: 0.0017194709573290622
step: 1130, loss: 274.74041748046875, data time: 0.0017055481065153758
step: 1140, loss: 240.80532836914062, data time: 0.001692373570483227
step: 1150, loss: 188.39134216308594, data time: 0.0016792214777907463
step: 1160, loss: 206.07427978515625, data time: 0.0016676949673011655
step: 1170, loss: 245.3222198486328, data time: 0.0016547083548748972
step: 1180, loss: 250.09271240234375, data time: 0.001642082787045389
step: 1190, loss: 170.20806884765625, data time: 0.0016297909068499824
step: 1200, loss: 190.681640625, data time: 0.0016178213824223637
step: 1210, loss: 192.38198852539062, data time: 0.001605783443592914
step: 1220, loss: 182.16409301757812, data time: 0.0015940873519234035
step: 1230, loss: 168.493408203125, data time: 0.0015825660758332764
step: 1240, loss: 215.7000274658203, data time: 0.0015713092874768666
step: 1250, loss: 153.68356323242188, data time: 0.0015601060025877147
step: 1260, loss: 193.88787841796875, data time: 0.00154891404204183
step: 1270, loss: 185.69680786132812, data time: 0.0015380311143783436
step: 1280, loss: 199.97024536132812, data time: 0.0015274883714665463
step: 1290, loss: 203.3433837890625, data time: 0.0015168591374292958
step: 1300, loss: 376.5278015136719, data time: 0.0015064065873026389
step: 1310, loss: 159.44680786132812, data time: 0.0014972220494421135
step: 1320, loss: 169.58819580078125, data time: 0.0014873158308120276
step: 1330, loss: 248.7213134765625, data time: 0.0014774189397210552
step: 1340, loss: 134.7300262451172, data time: 0.0014677364671292635
step: 1350, loss: 136.81838989257812, data time: 0.0014583762262908506
step: 1360, loss: 219.84945678710938, data time: 0.0014490219843220939
step: 1370, loss: 247.20167541503906, data time: 0.001439705480181274
step: 1380, loss: 203.32205200195312, data time: 0.001430491764879123
step: 1390, loss: 227.7294464111328, data time: 0.0014213988727764572
step: 1400, loss: 251.3437957763672, data time: 0.0014125539031175308
step: 1410, loss: 179.3475341796875, data time: 0.001403790488151729
